# engine	version	kind	outcome	note
# verified 2026-08-17T00:00:40Z
ripgrep	15.2.0	capability	PASS	literal text across repos
ctags	6.2.1	capability	PASS	fleet-wide symbol index
ast-grep	0.45.1	capability	PASS	literal in argument position
semgrep	1.173.0	capability	PASS	structural fallback for ast-grep
tokensave	7.9.0	known-limitation	IMPROVED	C# interface impls ARE captured (4: 1 implements + 3 extends→interface, of 4 extends) — query BOTH kinds; see BASELINE.md
serena	1.7.1.dev0	capability	PASS	C# interface to implementation
dotnet	10.0.400	capability	PASS	Serena can analyse C#
java	?	capability	MISSING	on PATH but did not run — Serena cannot analyse Java/Kotlin
node	v22.23.1	capability	PASS	Serena can analyse TypeScript/JavaScript
